F,0,150,150,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,0,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,0,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,
F,1,300,150,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,2,450,150,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,
F,3,600,150,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,9,2,2,2,2,2,2,2,5,5,11,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,
F,4,750,150,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,
F,5,150,300,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,
F,6,300,300,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,7,450,300,8,5,5,5,5,5,5,5,5,5,17,12,5,5,5,5,5,5,5,5,4,17,12,5,5,5,5,5,5,5,4,4,17,12,5,5,5,5,5,5,0,4,4,17,12,5,5,5,5,5,4,4,4,4,17,12,5,5,5,5,4,4,4,4,4,17,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,8,600,300,5,5,5,5,13,12,5,5,5,5,5,5,5,5,11,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,9,750,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,12,5,5,5,5,5,5,5,5,11,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,10,150,450,4,0,4,4,4,4,4,4,4,4,21,21,21,21,21,21,21,21,21,21,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,4,0,4,2,4,4,0,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,0,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,
F,11,300,450,4,4,0,4,4,4,4,0,4,4,21,21,21,21,21,21,21,21,21,21,18,19,18,18,18,18,18,18,19,18,18,18,18,18,19,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,
F,12,450,450,4,0,4,1,4,4,0,4,4,4,21,21,21,21,21,21,21,21,21,21,18,18,19,18,19,18,18,18,18,19,19,18,18,18,18,18,19,18,18,18,20,20,20,20,20,20,20,20,20,20,4,1,4,4,0,4,4,4,4,4,4,2,4,4,4,4,0,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,4,4,4,0,4,4,4,4,4,4,0,4,4,4,0,4,4,
F,13,600,450,4,4,3,4,4,4,4,0,4,4,21,21,21,21,21,21,21,21,21,21,18,18,18,18,18,19,18,18,18,18,18,19,18,18,18,18,18,18,19,18,20,20,20,20,20,20,20,20,20,20,4,4,4,0,4,4,4,4,0,4,0,4,4,4,4,4,3,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,4,0,4,4,4,4,
F,14,750,450,4,4,4,4,4,4,4,4,4,4,21,21,21,21,21,21,21,21,21,21,18,19,18,18,18,19,18,18,18,18,18,18,18,19,18,18,18,18,19,18,20,20,20,20,20,20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,15,150,600,4,4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4,
F,16,300,600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,17,450,600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,18,600,600,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
F,19,750,600,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,
